"","NEIGHBORHOOD","SALE.DATE","SALE.PRICE","YearMonth"
"90","ALPHABET CITY",2016-12-06,1578287,2016-12-01
"91","ALPHABET CITY",2017-01-30,1400093,2017-01-01
"92","ALPHABET CITY",2017-03-02,750000,2017-03-01
"93","ALPHABET CITY",2017-01-05,1400093,2017-01-01
"94","ALPHABET CITY",2016-10-11,1478499,2016-10-01
"95","ALPHABET CITY",2016-09-06,805000,2016-09-01
"96","ALPHABET CITY",2016-11-28,735000,2016-11-01
"97","ALPHABET CITY",2016-11-14,810000,2016-11-01
"98","ALPHABET CITY",2017-01-20,630000.000000001,2017-01-01
"99","ALPHABET CITY",2017-05-05,680000,2017-05-01
"100","ALPHABET CITY",2017-07-18,994999.999999999,2017-07-01
"101","ALPHABET CITY",2017-08-04,494500,2017-08-01
"102","ALPHABET CITY",2017-05-15,1875000,2017-05-01
"103","ALPHABET CITY",2016-11-02,635000,2016-11-01
"104","ALPHABET CITY",2017-04-19,7e+05,2017-04-01
"105","ALPHABET CITY",2017-06-12,1100000,2017-06-01
"106","ALPHABET CITY",2017-07-11,485000,2017-07-01
"107","ALPHABET CITY",2017-02-01,1175000,2017-02-01
"108","CHELSEA",2017-06-06,1835000,2017-06-01
"109","CHELSEA",2016-12-23,7e+05,2016-12-01
"110","CHELSEA",2017-07-31,1587500,2017-07-01
"111","CHELSEA",2016-11-21,310000,2016-11-01
"112","CHELSEA",2017-01-27,550000,2017-01-01
"113","CHELSEA",2016-09-26,354500,2016-09-01
"114","CHELSEA",2017-01-25,1750000,2017-01-01
"115","CHELSEA",2017-02-21,485000,2017-02-01
"116","CHELSEA",2017-02-24,1425000,2017-02-01
"117","CHELSEA",2016-10-06,705000,2016-10-01
"118","CHELSEA",2016-11-30,1525000,2016-11-01
"119","CHELSEA",2017-03-01,1750000,2017-03-01
"120","CHELSEA",2016-10-31,289000,2016-10-01
"121","CHELSEA",2016-10-28,669999.999999999,2016-10-01
"122","CHELSEA",2016-11-16,699000,2016-11-01
"123","CHELSEA",2016-11-30,180000,2016-11-01
"124","CHELSEA",2016-11-18,1237500,2016-11-01
"125","CHELSEA",2017-06-19,1300000,2017-06-01
"126","CHELSEA",2016-09-29,592499.999999999,2016-09-01
"127","CHELSEA",2016-12-29,311000,2016-12-01
"128","CHELSEA",2017-04-03,770000.000000001,2017-04-01
"129","CHELSEA",2017-06-19,560000,2017-06-01
"130","CHELSEA",2016-11-23,610000,2016-11-01
"131","CHELSEA",2016-12-21,589999.999999999,2016-12-01
"132","CHELSEA",2017-08-09,1700000,2017-08-01
"133","CHELSEA",2017-06-29,589999.999999999,2017-06-01
"134","CHELSEA",2016-12-27,441975,2016-12-01
"135","CHELSEA",2017-06-27,617777,2017-06-01
"136","CHELSEA",2017-06-28,644000.000000001,2017-06-01
"137","CHELSEA",2017-05-12,1100000,2017-05-01
"138","CHELSEA",2017-02-15,367500,2017-02-01
"139","CHELSEA",2016-09-23,710000,2016-09-01
"140","CHELSEA",2016-10-19,282000,2016-10-01
"141","CHELSEA",2017-02-14,1280000,2017-02-01
"142","CHELSEA",2017-07-10,455000,2017-07-01
"143","CHELSEA",2016-11-17,455000,2016-11-01
"144","CHELSEA",2017-03-06,685000,2017-03-01
"145","CHELSEA",2017-06-30,550000,2017-06-01
"146","CHELSEA",2016-12-19,622500,2016-12-01
"147","CHELSEA",2017-07-26,1350000,2017-07-01
"148","CHELSEA",2017-06-06,998999.999999999,2017-06-01
"149","CHELSEA",2017-02-01,490000,2017-02-01
"150","CHELSEA",2017-03-01,690000.000000001,2017-03-01
"151","CHELSEA",2017-03-22,998999.999999999,2017-03-01
"152","CHELSEA",2017-03-08,470000,2017-03-01
"153","CHELSEA",2017-05-17,434000,2017-05-01
"154","CHELSEA",2016-09-14,1085000,2016-09-01
"155","CHELSEA",2017-04-26,640000,2017-04-01
"156","CHELSEA",2016-12-21,440000,2016-12-01
"157","CHELSEA",2016-09-08,619999.999999999,2016-09-01
"158","CHELSEA",2016-09-27,640000,2016-09-01
"159","CHELSEA",2017-04-27,625000,2017-04-01
"160","CHELSEA",2016-11-16,1080000,2016-11-01
"161","CHELSEA",2016-12-01,659000,2016-12-01
"162","CHELSEA",2016-12-01,5e+05,2016-12-01
"163","CHELSEA",2017-01-12,460000,2017-01-01
"164","CHELSEA",2017-08-31,480000,2017-08-01
"165","CHELSEA",2017-05-03,1625000,2017-05-01
"166","CHELSEA",2017-01-27,764999.999999999,2017-01-01
"167","CHELSEA",2017-02-17,1775000,2017-02-01
"168","CHELSEA",2017-01-27,730000,2017-01-01
"169","CHELSEA",2017-07-12,5e+05,2017-07-01
"170","CHELSEA",2017-08-25,540000,2017-08-01
"171","CHELSEA",2016-09-23,1375000,2016-09-01
"172","CHELSEA",2016-10-17,827500,2016-10-01
"173","CHELSEA",2016-11-04,582500,2016-11-01
"174","CHELSEA",2017-04-26,950000,2017-04-01
"175","CHELSEA",2016-10-07,750000,2016-10-01
"176","CHELSEA",2017-02-02,583000.000000001,2017-02-01
"177","CHELSEA",2017-06-05,735000,2017-06-01
"178","CHELSEA",2017-01-17,1500000,2017-01-01
"179","CHELSEA",2017-06-30,879999.999999999,2017-06-01
"180","CHELSEA",2016-09-29,732500.000000001,2016-09-01
"181","CHELSEA",2016-10-28,518000,2016-10-01
"182","CHELSEA",2016-11-16,1215000,2016-11-01
"183","CHELSEA",2016-12-13,775000,2016-12-01
"184","CHELSEA",2017-02-17,8e+05,2017-02-01
"185","CHELSEA",2017-05-23,900000.000000001,2017-05-01
"186","CHELSEA",2017-06-22,850000,2017-06-01
"187","CHELSEA",2017-07-13,735000,2017-07-01
"188","CHELSEA",2017-07-14,655000,2017-07-01
"189","CHELSEA",2017-07-18,1080000,2017-07-01
"190","CHELSEA",2017-01-26,790000.000000001,2017-01-01
"191","CHELSEA",2017-01-19,638999.999999999,2017-01-01
"192","CHELSEA",2017-04-28,875000,2017-04-01
"193","CHELSEA",2016-12-28,452000,2016-12-01
"194","CHELSEA",2016-11-03,932500,2016-11-01
"195","CHELSEA",2017-05-17,980000.000000001,2017-05-01
"196","CHELSEA",2017-04-28,701573.999999999,2017-04-01
"197","CHELSEA",2017-08-24,1200000,2017-08-01
"198","CHELSEA",2017-05-02,875000,2017-05-01
"199","CHELSEA",2017-06-27,979000,2017-06-01
"200","CHELSEA",2016-11-21,1350000,2016-11-01
"201","CHELSEA",2017-08-17,635000,2017-08-01
"202","CHELSEA",2017-08-14,750000,2017-08-01
"203","CHELSEA",2016-10-17,994999.999999999,2016-10-01
"204","CHELSEA",2016-11-04,661862,2016-11-01
"205","CHELSEA",2017-03-07,835000,2017-03-01
"206","CHELSEA",2017-05-01,1017000,2017-05-01
"207","CHELSEA",2017-07-10,1495000,2017-07-01
"208","CHELSEA",2016-10-17,144521,2016-10-01
"209","CHELSEA",2016-12-16,655000,2016-12-01
"210","CHELSEA",2017-08-17,785000,2017-08-01
"211","CHELSEA",2017-02-02,915000,2017-02-01
"212","CHELSEA",2016-12-15,848999.999999999,2016-12-01
"213","CHELSEA",2017-07-26,3e+05,2017-07-01
"214","CHELSEA",2017-02-09,495846,2017-02-01
"215","CHELSEA",2017-06-05,1225000,2017-06-01
"216","CHELSEA",2016-10-20,1115000,2016-10-01
"217","CHELSEA",2017-05-17,1260000,2017-05-01
"218","CHELSEA",2017-06-12,1195000,2017-06-01
"219","CHELSEA",2017-07-25,1075000,2017-07-01
"220","CHELSEA",2016-09-27,267701,2016-09-01
"221","CHELSEA",2016-09-27,284101,2016-09-01
"222","CHELSEA",2016-09-27,207564,2016-09-01
"223","CHELSEA",2016-09-27,289568,2016-09-01
"224","CHELSEA",2016-09-27,218498,2016-09-01
"225","CHELSEA",2016-09-27,207564,2016-09-01
"226","CHELSEA",2017-06-12,5e+05,2017-06-01
"227","CHELSEA",2017-03-15,669999.999999999,2017-03-01
"228","CHELSEA",2016-09-07,530000,2016-09-01
"229","CHELSEA",2016-09-16,460000,2016-09-01
"230","CHELSEA",2016-11-30,605000,2016-11-01
"231","CHELSEA",2017-01-25,677500.000000001,2017-01-01
"232","CHELSEA",2017-03-29,425000,2017-03-01
"233","CHELSEA",2017-04-27,589999.999999999,2017-04-01
"234","CHELSEA",2017-06-26,475000,2017-06-01
"235","CHELSEA",2017-07-18,469000,2017-07-01
"236","CHELSEA",2017-02-06,879999.999999999,2017-02-01
"237","CHELSEA",2016-10-18,1090000,2016-10-01
"238","CHELSEA",2016-12-22,944999.999999999,2016-12-01
"239","CHELSEA",2017-02-16,592499.999999999,2017-02-01
"240","CHELSEA",2017-03-06,653000,2017-03-01
"241","CHELSEA",2017-03-07,1250000,2017-03-01
"242","CHELSEA",2017-05-01,1075000,2017-05-01
"243","CHELSEA",2017-05-12,589999.999999999,2017-05-01
"244","CHELSEA",2017-07-27,1535000,2017-07-01
"245","CHELSEA",2017-08-07,975000,2017-08-01
"246","CHELSEA",2016-09-09,905000,2016-09-01
"247","CHELSEA",2016-11-09,900000.000000001,2016-11-01
"248","CHELSEA",2017-05-04,889999.999999999,2017-05-01
"249","CHELSEA",2017-05-02,520000,2017-05-01
"250","CHELSEA",2017-06-06,810000,2017-06-01
"251","CHELSEA",2016-11-15,1600000,2016-11-01
"252","CHELSEA",2016-10-07,1700000,2016-10-01
"253","CHELSEA",2016-10-26,1650000,2016-10-01
"254","CHELSEA",2016-12-13,867500,2016-12-01
"255","CHELSEA",2017-01-30,737500.000000001,2017-01-01
"256","CHELSEA",2017-02-01,540000,2017-02-01
"257","CHELSEA",2017-02-10,1111000,2017-02-01
"258","CHELSEA",2017-03-20,980999.999999999,2017-03-01
"259","CHELSEA",2017-03-27,1650000,2017-03-01
"260","CHELSEA",2017-04-20,1390000,2017-04-01
"261","CHELSEA",2017-04-24,630000.000000001,2017-04-01
"262","CHELSEA",2017-06-26,708000,2017-06-01
"263","CHELSEA",2017-07-12,864999.999999999,2017-07-01
"264","CHELSEA",2016-12-08,1275000,2016-12-01
"265","CHELSEA",2017-08-28,615000,2017-08-01
"266","CHELSEA",2016-10-17,939000,2016-10-01
"267","CHELSEA",2016-11-09,545000,2016-11-01
"268","CHELSEA",2017-01-12,560000,2017-01-01
"269","CHELSEA",2016-11-02,527500,2016-11-01
"270","CHELSEA",2017-02-28,1450000,2017-02-01
"271","CHELSEA",2017-04-11,1850000,2017-04-01
"272","CHELSEA",2017-03-20,1753000,2017-03-01
"273","CHELSEA",2017-07-20,949000,2017-07-01
"274","CHELSEA",2016-10-25,615000,2016-10-01
"275","CHELSEA",2016-11-28,675000.000000001,2016-11-01
"276","CHELSEA",2017-06-06,615000,2017-06-01
"277","CHELSEA",2017-03-16,818750,2017-03-01
"278","CHELSEA",2017-05-08,445000,2017-05-01
"279","CHELSEA",2017-05-25,550000,2017-05-01
"280","CHELSEA",2017-05-19,950000,2017-05-01
"281","CHELSEA",2017-06-29,900000.000000001,2017-06-01
"282","CHELSEA",2017-06-29,838999.999999999,2017-06-01
"283","CHELSEA",2017-07-06,1810000,2017-07-01
"284","CHELSEA",2017-03-01,433000,2017-03-01
"285","CHELSEA",2017-05-12,1770000,2017-05-01
"286","CHELSEA",2017-08-21,1645000,2017-08-01
"287","CHELSEA",2017-08-29,1700000,2017-08-01
"288","CHELSEA",2017-03-30,997500,2017-03-01
"289","CHELSEA",2017-03-30,210000,2017-03-01
"290","CHELSEA",2017-01-06,1150000,2017-01-01
"291","CHELSEA",2017-04-27,826000,2017-04-01
"292","CHELSEA",2016-11-07,799000,2016-11-01
"293","CHELSEA",2017-08-30,1340000,2017-08-01
"294","CHELSEA",2017-05-12,1060000,2017-05-01
"295","CHELSEA",2017-04-25,1035000,2017-04-01
"296","CHELSEA",2016-12-22,1040000,2016-12-01
"297","CHELSEA",2017-06-27,1045000,2017-06-01
"298","CHELSEA",2017-03-13,1025000,2017-03-01
"299","CHELSEA",2017-07-26,740000,2017-07-01
"300","CHELSEA",2017-02-08,1210000,2017-02-01
"301","CHELSEA",2016-12-19,994999.999999999,2016-12-01
"302","CHELSEA",2017-01-03,994999.999999999,2017-01-01
"303","CHELSEA",2017-04-20,785000,2017-04-01
"304","CHELSEA",2016-12-21,1020000,2016-12-01
"305","CHELSEA",2017-01-05,975000,2017-01-01
"306","CHELSEA",2016-12-15,1650000,2016-12-01
"307","CHELSEA",2016-12-02,1700000,2016-12-01
"308","CHELSEA",2017-01-18,257068,2017-01-01
"309","CHELSEA",2017-05-18,1075000,2017-05-01
"310","CHELSEA",2017-01-10,1199000,2017-01-01
"311","CHELSEA",2017-05-12,1255000,2017-05-01
"312","CHELSEA",2017-01-19,1280000,2017-01-01
"313","CHELSEA",2017-08-04,1300000,2017-08-01
"314","CHELSEA",2017-05-18,1300000,2017-05-01
"315","CHELSEA",2017-03-01,1275000,2017-03-01
"316","CHELSEA",2016-12-06,1195000,2016-12-01
"317","CHELSEA",2017-06-15,1500000,2017-06-01
"318","CHELSEA",2017-06-14,1180000,2017-06-01
"319","CHELSEA",2017-02-03,1050000,2017-02-01
"320","CHELSEA",2017-01-31,1575000,2017-01-01
"321","CHELSEA",2017-08-14,1440000,2017-08-01
"322","CHELSEA",2017-05-18,1222000,2017-05-01
"323","CHELSEA",2017-08-10,1180000,2017-08-01
"324","CHELSEA",2017-06-16,775595,2017-06-01
"325","CHELSEA",2017-04-19,730000,2017-04-01
"326","CHELSEA",2017-01-24,805000,2017-01-01
"327","CHELSEA",2017-08-18,998999.999999999,2017-08-01
"328","CHELSEA",2017-08-22,925000,2017-08-01
"329","CHELSEA",2016-10-14,975000,2016-10-01
"330","CHELSEA",2017-06-02,1495000,2017-06-01
"331","CHELSEA",2016-09-30,1425000,2016-09-01
"332","CHELSEA",2017-04-12,1750000,2017-04-01
"333","CHELSEA",2016-12-15,881999.999999999,2016-12-01
"334","CHELSEA",2017-05-19,968000,2017-05-01
"335","CHELSEA",2017-03-01,1025000,2017-03-01
"336","CHELSEA",2017-07-25,1145000,2017-07-01
"337","CHELSEA",2017-07-17,675000.000000001,2017-07-01
"338","CHELSEA",2017-04-07,1410000,2017-04-01
"339","CHELSEA",2017-02-28,1440000,2017-02-01
"340","CHELSEA",2017-05-05,1820000,2017-05-01
"341","CHELSEA",2017-01-05,388037,2017-01-01
"342","CHELSEA",2017-02-01,525000,2017-02-01
"343","CHELSEA",2017-02-27,820000,2017-02-01
"344","CHELSEA",2016-11-30,1751390,2016-11-01
"345","CHELSEA",2016-10-07,1750000,2016-10-01
"346","CHELSEA",2017-06-09,977500.000000001,2017-06-01
"347","CHELSEA",2017-02-27,1300000,2017-02-01
"348","CHELSEA",2016-10-28,1325000,2016-10-01
"349","CHELSEA",2016-12-22,900000.000000001,2016-12-01
"350","CHELSEA",2017-05-26,935000.000000001,2017-05-01
"351","CHELSEA",2017-03-29,975000,2017-03-01
"352","CHELSEA",2016-12-09,250000,2016-12-01
"353","CHELSEA",2017-05-24,1750000,2017-05-01
"354","CHELSEA",2016-10-05,1500000,2016-10-01
"355","CHELSEA",2016-09-08,1750000,2016-09-01
"356","CHELSEA",2017-08-10,1600000,2017-08-01
"357","CHELSEA",2017-03-23,1700000,2017-03-01
"358","CHELSEA",2016-09-15,989999.999999999,2016-09-01
"359","CHELSEA",2017-07-12,1725000,2017-07-01
"360","CHELSEA",2017-08-03,1470000,2017-08-01
"361","CHELSEA",2017-06-14,1600000,2017-06-01
"362","CHELSEA",2016-11-04,1374638,2016-11-01
"363","CHELSEA",2016-10-19,1476462,2016-10-01
"364","CHELSEA",2016-10-13,1636836,2016-10-01
"365","CHELSEA",2016-11-22,1629200,2016-11-01
"366","CHELSEA",2016-10-05,1807393,2016-10-01
"367","CHELSEA",2016-09-26,205000,2016-09-01
"368","CHELSEA",2017-07-24,950000,2017-07-01
"369","CHELSEA",2017-04-10,1090000,2017-04-01
"370","CHELSEA",2017-04-18,1318000,2017-04-01
"371","CHELSEA",2017-01-20,1010000,2017-01-01
"372","CHELSEA",2017-03-31,680000,2017-03-01
"373","CHELSEA",2016-10-14,1725000,2016-10-01
"374","CHELSEA",2017-08-30,1015000,2017-08-01
"375","CHELSEA",2017-08-30,1682500,2017-08-01
"376","CHELSEA",2017-08-22,939000,2017-08-01
"377","CHELSEA",2017-08-15,1475000,2017-08-01
"378","CHELSEA",2016-09-15,855000,2016-09-01
"379","CHELSEA",2017-02-17,1760000,2017-02-01
